event_time,revenue_usd,uid,is_test
2023-03-09 08:35:16,4.99,15633263,0
2023-03-09 08:44:19,19.99,15633263,0
2023-03-09 08:46:18,4.99,15633263,0
2023-03-09 09:01:01,0.99,15864487,0
2023-03-09 09:07:12,2.99,15903333,0
2023-03-09 09:21:10,0.99,15864487,0
2023-03-09 09:30:26,0.99,15864487,0
2023-03-09 09:36:49,19.99,15904895,0
2023-03-09 09:37:02,19.99,15904895,0
2023-03-09 09:37:16,49.99,15904895,0
2023-03-09 09:37:27,6.99,15904891,0
2023-03-09 09:37:27,19.99,15904895,0
2023-03-09 09:37:41,19.99,15904895,0
2023-03-09 09:37:52,2.99,15904895,0
2023-03-09 09:38:09,9.99,15904891,0
2023-03-09 09:38:24,49.99,15864487,0
2023-03-09 09:38:32,19.99,15864487,0
2023-03-09 09:44:22,2.99,15904895,0
2023-03-09 09:53:31,19.99,15905163,0
2023-03-09 09:53:40,19.99,15905163,0
2023-03-09 09:54:05,19.99,15905163,0
2023-03-09 09:54:12,2.99,15905177,0
2023-03-09 09:54:23,19.99,15905177,0
2023-03-09 09:54:38,19.99,15905177,0
2023-03-09 09:54:38,19.99,15905163,0
2023-03-09 09:54:47,19.99,15905163,0
2023-03-09 09:54:49,49.99,15905177,0
2023-03-09 09:55:03,49.99,15905177,0
2023-03-09 09:55:18,19.99,15905177,0
2023-03-09 09:55:26,19.99,15905177,0
2023-03-09 09:55:33,19.99,15905177,0
2023-03-09 09:56:23,19.99,15905177,0
2023-03-09 09:56:32,19.99,15905177,0
2023-03-09 10:04:58,2.99,15891029,0
2023-03-09 10:05:21,0.99,15738089,0
2023-03-09 10:07:05,19.99,15194641,0
2023-03-09 10:07:19,19.99,15905367,0
2023-03-09 10:07:22,6.99,15194641,0
2023-03-09 10:07:43,4.99,15194641,0
2023-03-09 10:08:03,19.99,15194641,0
2023-03-09 10:14:55,2.99,15905537,0
2023-03-09 10:15:13,2.99,15905537,0
2023-03-09 10:15:27,19.99,15905537,0
2023-03-09 10:17:21,4.99,15905537,0
2023-03-09 10:18:30,2.99,15882437,0
2023-03-09 10:20:04,19.99,15905163,0
2023-03-09 10:30:04,2.99,15905677,0
2023-03-09 10:30:30,0.99,14962999,0
2023-03-09 10:31:18,2.99,15905807,0
2023-03-09 10:40:20,0.99,15895931,0
2023-03-09 10:44:01,2.99,15906027,0
2023-03-09 10:44:14,19.99,15906027,0
2023-03-09 10:44:22,2.99,15906027,0
2023-03-09 10:44:55,6.99,15906027,0
2023-03-09 10:46:16,0.99,15708845,0
2023-03-09 10:56:58,9.99,15905677,0
2023-03-09 10:57:28,49.99,15905677,0
2023-03-09 10:59:07,49.99,15905677,0
2023-03-09 10:59:43,4.99,15564909,0
2023-03-09 11:01:09,6.99,15705543,0
2023-03-09 11:03:34,2.99,15895931,0
2023-03-09 11:05:28,2.99,15906405,0
2023-03-09 11:23:50,49.99,15889065,0
2023-03-09 11:24:38,9.99,15889065,0
2023-03-09 11:25:04,19.99,15889065,0
2023-03-09 11:27:43,19.99,15905163,0
2023-03-09 11:43:55,19.99,15907095,0
2023-03-09 11:44:05,19.99,15907095,0
2023-03-09 11:44:17,2.99,15907095,0
2023-03-09 11:53:30,19.99,15907275,0
2023-03-09 11:53:46,19.99,15907275,0
2023-03-09 11:53:55,49.99,15907275,0
2023-03-09 11:54:10,19.99,15907275,0
2023-03-09 11:56:33,2.99,15879979,0
2023-03-09 11:57:57,2.99,15899039,0
2023-03-09 11:58:31,0.99,15907357,0
2023-03-09 11:58:41,19.99,15907357,0
2023-03-09 11:58:54,2.99,15907357,0
2023-03-09 11:59:05,2.99,15907357,0
2023-03-09 12:13:31,9.99,15810375,0
2023-03-09 12:14:26,2.99,15710017,0
2023-03-09 12:25:28,2.99,15898007,0
2023-03-09 12:30:18,0.99,15630689,0
2023-03-09 12:34:04,19.99,15908025,0
2023-03-09 12:34:33,19.99,15908025,0
2023-03-09 12:34:47,2.99,15908025,0
2023-03-09 12:35:15,19.99,15908025,0
2023-03-09 12:39:22,19.99,15164251,0
2023-03-09 12:41:26,0.99,15678619,0
2023-03-09 13:00:22,2.99,15908515,0
2023-03-09 13:00:36,2.99,15908515,0
2023-03-09 13:01:11,19.99,15908515,0
2023-03-09 13:01:23,19.99,15908515,0
2023-03-09 13:01:38,2.99,15908515,0
2023-03-09 13:02:01,2.99,15902315,0
2023-03-09 13:02:03,19.99,15908515,0
2023-03-09 13:02:44,19.99,15902315,0
2023-03-09 13:02:44,19.99,15908515,0
2023-03-09 13:02:58,2.99,15908515,0
2023-03-09 13:03:18,19.99,15908515,0
2023-03-09 13:09:50,19.99,15908673,0
2023-03-09 13:09:59,19.99,15908673,0
2023-03-09 13:10:08,19.99,15908673,0
2023-03-09 13:38:29,2.99,15874035,0
2023-03-09 13:52:22,2.99,15909033,0
2023-03-09 14:00:23,19.99,15909587,0
2023-03-09 14:02:47,2.99,14992317,0
2023-03-09 14:07:58,2.99,15909711,0
2023-03-09 14:08:02,6.99,15063315,0
2023-03-09 14:08:14,19.99,15909711,0
2023-03-09 14:08:31,2.99,15909711,0
2023-03-09 14:09:47,19.99,15909711,0
2023-03-09 14:09:58,19.99,15909711,0
2023-03-09 14:21:43,0.99,15784091,0
2023-03-09 14:38:46,19.99,15910243,0
2023-03-09 14:42:02,2.99,15910305,0
2023-03-09 14:51:35,2.99,15910477,0
2023-03-09 14:51:50,2.99,15910099,0
2023-03-09 14:51:50,19.99,15910477,0
2023-03-09 14:52:04,19.99,15910477,0
2023-03-09 14:52:12,0.99,15910477,0
2023-03-09 14:52:52,2.99,15910477,0
2023-03-09 14:53:24,2.99,15910477,0
2023-03-09 14:53:33,0.99,15910477,0
2023-03-09 14:58:49,2.99,15910599,0
2023-03-09 14:59:08,19.99,15910599,0
2023-03-09 14:59:14,19.99,15910599,0
2023-03-09 14:59:20,19.99,15910599,0
2023-03-09 14:59:46,19.99,15910599,0
2023-03-09 14:59:57,2.99,15910599,0
2023-03-09 15:01:42,19.99,15910599,0
2023-03-09 15:01:49,19.99,15910599,0
2023-03-09 15:02:07,19.99,15910599,0
2023-03-09 15:02:14,4.99,15233583,0
2023-03-09 15:02:22,19.99,15910599,0
2023-03-09 15:02:29,19.99,15910599,0
2023-03-09 15:02:45,2.99,15910599,0
2023-03-09 15:03:07,19.99,15910599,0
2023-03-09 15:03:15,19.99,15910673,0
2023-03-09 15:03:43,19.99,15910685,0
2023-03-09 15:04:01,19.99,15910673,0
2023-03-09 15:04:12,19.99,15910673,0
2023-03-09 15:04:40,19.99,15910709,0
2023-03-09 15:13:41,2.99,15910843,0
2023-03-09 15:13:52,49.99,15910843,0
2023-03-09 15:14:05,19.99,15910843,0
2023-03-09 15:14:22,49.99,15910843,0
2023-03-09 15:16:10,19.99,15910907,0
2023-03-09 15:16:36,4.99,15910907,0
2023-03-09 15:17:13,2.99,15910907,0
2023-03-09 15:17:15,2.99,15910843,0
2023-03-09 15:17:49,4.99,15910843,0
2023-03-09 15:17:51,0.99,15189803,0
2023-03-09 15:17:56,0.99,15890073,0
2023-03-09 15:18:01,9.99,15910843,0
2023-03-09 15:19:08,2.99,15856107,0
2023-03-09 15:21:22,2.99,15910997,0
2023-03-09 15:21:32,2.99,15910997,0
2023-03-09 15:21:43,19.99,15910997,0
2023-03-09 15:21:57,19.99,15910997,0
2023-03-09 15:22:06,0.99,15910997,0
2023-03-09 15:23:33,2.99,15910997,0
2023-03-09 15:23:57,2.99,15911003,0
2023-03-09 15:26:15,19.99,15911087,0
2023-03-09 15:26:32,19.99,15911087,0
2023-03-09 15:27:10,4.99,15911087,0
2023-03-09 15:35:41,19.99,15911087,0
2023-03-09 15:40:30,19.99,15911313,0
2023-03-09 15:40:49,2.99,15911313,0
2023-03-09 15:41:07,9.99,15911313,0
2023-03-09 15:41:49,2.99,15790349,0
